input,output,token_count
4_extracted.docx,"<fatos>
LUCAS RODRIGUES ajuizou ação ordinária em face de CONSTRUÇÕES SUSTENTÁVEIS LTDA alegando que firmou ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"" com previsão de entrega do imóvel para dezembro de 2012. O contrato previa tolerância de 120 dias para atraso na entrega das obras (cláusula 8.1). A ré esteve em mora no período de 30 de abril de 2013 até 29 de maio de 2013, quando foi concedido o ""habite-se"". O autor efetuou pagamento de R$ 9.470,00 a título de comissão de corretagem em abril de 2010. O valor total do contrato era de R$ 235.530,00. A cláusula 9.1 do contrato previa multa moratória de 2% e juros de mora de 1% ao mês em caso de inadimplemento do comprador, sem previsão de penalidade equivalente para a mora da vendedora.
</fatos>

<pedidos>
1. Declaração de abusividade da cláusula 8.1 (prazo de tolerância de 120 dias) e cláusula 6.2 do contrato, tornando indevida a correção do saldo residual pelo INCC-M/FGV-IGPM após dezembro/2012, com devolução dos valores;

2. Subsidiariamente, substituição dos índices de correção pelo menor índice praticado no mercado;

3. Condenação ao pagamento de multa por mora contratual de 2% sobre o valor do contrato (R$ 4.710,60);

4. Condenação ao pagamento de danos morais de R$ 23.553,00 (10% do valor do contrato);

5. Condenação ao pagamento dos valores gastos com aluguel e encargos locatícios durante o atraso na entrega;

6. Declaração de inexigibilidade e devolução em dobro da comissão de corretagem de R$ 18.940,00, ou alternativamente devolução simples de R$ 9.470,00;

7. Condenação ao pagamento de indenização correspondente à atualização conforme índices e juros do clube de investimento da bolsa de valores no período de março/2013 até 25/11/2013.
</pedidos>",625
4_extracted.docx,"<fatos>
LUCAS RODRIGUES ajuizou ação ordinária em face de CONSTRUÇÕES SUSTENTÁVEIS LTDA após firmar ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"". A entrega do imóvel estava prevista contratualmente para dezembro de 2012, com cláusula de tolerância de 120 dias (até abril/2013). O autor pagou R$ 9.470,00 a título de comissão de corretagem em abril de 2010. A construtora entregou o imóvel com atraso, obtendo o ""habite-se"" apenas em 29 de maio de 2013, configurando mora no período de 30/04/2013 a 29/05/2013. O valor total do contrato era de R$ 235.530,00.
</fatos>

<pedidos>
1. Declaração de abusividade da cláusula de tolerância de 120 dias e da correção do saldo devedor pelo INCC-M/FGV-IGPM após dezembro/2012, com devolução dos valores pagos;

2. Subsidiariamente, substituição do índice de correção pelo menor praticado no mercado;

3. Condenação ao pagamento de multa por mora contratual de 2% sobre o valor do contrato (R$ 4.710,60);

4. Condenação ao pagamento de danos morais de R$ 23.553,00 (10% do valor do contrato);

5. Condenação ao pagamento de valores gastos com aluguel durante o atraso na entrega;

6. Declaração de inexigibilidade e devolução em dobro da comissão de corretagem (R$ 18.940,00) ou alternativamente devolução simples (R$ 9.470,00);

7. Condenação ao pagamento de indenização correspondente à atualização conforme índices e juros do clube de investimento da bolsa de valores no período de março/2013 a 25/11/2013.
</pedidos>",526
4_extracted.docx,"<fatos>
Lucas Rodrigues firmou com a Construções Sustentáveis LTDA ""Contrato de Compromisso de Venda e Compra de Bem Imóvel e Outros Pactos"". A entrega do imóvel estava prevista para dezembro de 2012, com cláusula de tolerância de 120 dias prevista no item 8.1 do contrato. O autor efetuou pagamento de R$ 9.470,00 a título de comissão de corretagem em abril de 2010. A construtora permaneceu em mora no período de 30 de abril de 2013 até 29 de maio de 2013, data em que foi concedido o ""habite-se"" conforme documento de fls. 182. Após o ""habite-se"", caberia ao autor pagar (com recursos próprios ou mediante financiamento imobiliário) a parcela prevista no item 3.2.2 do quadro de resumo do compromisso de venda e compra. O valor total do contrato era de R$ 235.530,00.
</fatos>

<pedidos>
1. Declaração de abusividade do Capítulo VIII, 8.1 (prazo de tolerância de 120 dias) e do Capítulo VI, 6.2 do contrato celebrado, tornando indevida a aplicação da correção do saldo residual devedor pelo índice INCC-M/FGV - IGPM após dezembro/2012;

2. Subsidiariamente, substituição do índice pelo menor praticado no mercado;

3. Pagamento de multa por mora contratual de 2% sobre o valor do contrato (R$ 4.710,60);

4. Pagamento de danos morais arbitrados em R$ 23.553,00 (10% do valor do contrato);

5. Pagamento dos valores gastos com aluguel e encargos de locação durante o atraso na entrega;

6. Declaração de inexigibilidade e devolução em dobro da comissão de corretagem no valor de R$ 18.940,00, ou alternativamente devolução simples de R$ 9.470,00;

7. Pagamento de indenização correspondente à atualização conforme índices e juros do clube de investimento da bolsa de valores no período de março/2013 até 25/11/2013.
</pedidos>",605
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas consideradas ilegais. Em contestação, a empresa ré defendeu a validade do contrato e a regularidade das cláusulas pactuadas entre as partes. Após saneamento do processo, foi realizada perícia contábil que apurou saldo devedor de R$ 590,00 atualizado até janeiro de 2014, com parcelas vencidas de R$ 55,11 no período de janeiro a dezembro de 2014.

A autoridade judicial reconheceu a aplicabilidade do Código de Defesa do Consumidor e determinou o afastamento da capitalização dos juros do contrato, declarando a inconstitucionalidade do artigo 5º da Medida Provisória nº 2.170-36/2001 por vícios formais e materiais, bem como em razão da suspensão de sua eficácia por liminar concedida na ADIN 2.316-1. Quanto aos juros remuneratórios, não foi demonstrada abusividade em relação à taxa média de mercado. A comissão de permanência foi considerada devida para o período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual. As cobranças de TAC e tarifa de cadastro foram declaradas abusivas e nulas por não corresponderem a serviços efetivamente prestados ao consumidor, representando mais de 10% do crédito liberado.
</fatos>

<pedidos>
1. Revisão do contrato de financiamento e do saldo devedor;
2. Afastamento dos juros capitalizados;
3. Adequação das taxas de juros aos limites contratados;
4. Revisão da cobrança de comissão de permanência;
5. Declaração de ilegalidade das tarifas cobradas (TAC e tarifa de cadastro).
</pedidos>",544
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas consideradas ilegais. Em contestação, a empresa ré defendeu a validade do contrato e a regularidade das cláusulas pactuadas entre as partes. Foi realizada perícia contábil que apurou saldo devedor do autor no valor de R$ 590,00, atualizado até janeiro de 2014, com parcelas vencidas de R$ 55,11 entre janeiro e dezembro de 2014. O juízo reconheceu a aplicação do Código de Defesa do Consumidor e determinou o afastamento da capitalização de juros do contrato, declarando a inconstitucionalidade do artigo 5º da MP 2.170-36/2001 por vícios formais e materiais. Considerou abusivas e nulas as cobranças de TAC e tarifa de cadastro, que representavam mais de 10% do crédito liberado. Quanto aos juros remuneratórios, não foi demonstrada abusividade em relação à taxa média de mercado. A comissão de permanência foi considerada devida apenas para o período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios, moratórios e multa contratual, observada a taxa média de mercado do Banco Central limitada ao percentual contratual.
</fatos>

<pedidos>
1. Revisão do contrato de financiamento e do saldo devedor;
2. Afastamento dos juros capitalizados;
3. Redução das taxas de juros superiores à contratada;
4. Revisão da cobrança de comissão de permanência;
5. Declaração de ilegalidade e exclusão das tarifas cobradas.
</pedidos>",497
5_extracted.docx,"<fatos>
Rafael Carvalho ajuizou ação revisional de contrato de financiamento em face da Empresa Visionária de Ti, questionando a aplicação de juros capitalizados, taxas superiores à contratada, cobrança de comissão de permanência e tarifas alegadamente ilegais. A instituição ré contestou defendendo a validade do contrato e regularidade das cláusulas pactuadas entre as partes. Foi realizada perícia contábil que apurou saldo devedor de R$ 590,00 atualizado até janeiro de 2014, com parcelas vencidas de R$ 55,11 entre janeiro e dezembro de 2014. O magistrado reconheceu a aplicabilidade do Código de Defesa do Consumidor ao caso e determinou o afastamento da capitalização de juros do contrato, por entender inconstitucional o artigo 5º da MP 2.170-36/2001, tanto por vício formal quanto material. Considerou abusivas e nulas as cobranças de TAC e tarifa de cadastro, por corresponderem a mais de 10% do crédito liberado. Quanto aos juros remuneratórios, não ficou demonstrada abusividade em relação à taxa média de mercado. A comissão de permanência foi considerada devida para o período de inadimplência, vedada sua cumulação com correção monetária, juros remuneratórios e moratórios ou multa contratual, observada a taxa média de mercado e limitada ao percentual contratual.
</fatos>

<pedidos>
O autor requereu:
1. Revisão do contrato de financiamento e do saldo devedor;
2. Afastamento dos juros capitalizados;
3. Redução das taxas de juros cobradas acima do contratado;
4. Revisão da cobrança de comissão de permanência;
5. Declaração de ilegalidade das tarifas cobradas.

O pedido foi julgado parcialmente procedente para:
1. Afastar a capitalização de juros do contrato;
2. Declarar nulas as cobranças de TAC e tarifa de cadastro;
3. Manter os juros remuneratórios conforme contratados;
4. Permitir a cobrança de comissão de permanência no período de inadimplência, sem cumulação com outros encargos;
5. Fixar o saldo devedor em R$ 590,00 (atualizado até janeiro/2014);
6. Estabelecer parcelas de R$ 55,11 para o período de janeiro a dezembro/2014;
7. Condenar o réu ao pagamento integral das custas, despesas processuais e honorários advocatícios de 20% sobre o valor da causa.
</pedidos>",702
8_extracted.docx,"<fatos>
Trata-se de ação judicial envolvendo contrato de transporte marítimo internacional com cláusula de eleição de foro exclusivo estrangeiro, celebrado entre duas empresas estrangeiras, com cumprimento integral no exterior. A carga foi embarcada na Argentina e descarregada em Hong Kong, conforme demonstram os conhecimentos de embarque anexados aos autos. O contrato estabeleceu que toda e qualquer ação judicial deveria ser ajuizada exclusivamente perante a justiça de Londres, com expressa exclusão da jurisdição brasileira. Não há situação de vulnerabilidade entre as partes contratantes, que são empresas acostumadas às peculiaridades do transporte marítimo internacional. A relação não envolve direitos indisponíveis ou interesse público. O caso não se enquadra como relação de consumo, pois caracteriza ""consumo intermediário"", onde o custo do serviço é repassado ao produto final. As partes contratantes, em pleno juízo de cognição quanto aos riscos e efeitos da cláusula de eleição de foro internacional, optaram livremente pela sua inclusão no contrato.
</fatos>

<pedidos>
A parte ré requer o reconhecimento da ausência de jurisdição brasileira para julgar o caso, com base na cláusula de eleição de foro exclusivo estrangeiro prevista no contrato de transporte marítimo internacional. Sustenta que o contrato foi celebrado entre empresas estrangeiras e seu cumprimento ocorreu integralmente no exterior. Pleiteia a extinção do processo sem resolução do mérito, com fundamento no artigo 485, incisos IV e VI do Código de Processo Civil.
</pedidos>",425
8_extracted.docx,"<fatos>
O caso versa sobre contrato de transporte marítimo internacional celebrado entre duas empresas estrangeiras, com cláusula de eleição de foro exclusivo estrangeiro determinando que qualquer ação judicial deveria ser ajuizada perante a justiça de Londres. A carga objeto do contrato foi embarcada na Argentina e descarregada em Hong Kong, conforme demonstrado pelos conhecimentos de embarque juntados aos autos. O cumprimento do contrato ocorreu integralmente no exterior, não havendo qualquer conexão com o território nacional, seja como local de cumprimento da obrigação ou local onde eventual dano teria ocorrido. As partes contratantes, em pleno juízo de cognição quanto aos riscos e efeitos da cláusula de eleição de foro internacional, e sem qualquer situação de vulnerabilidade na relação entre elas, optaram livremente pela inclusão desta cláusula no contrato, excluindo expressamente a jurisdição brasileira. O caso não envolve qualquer interesse público ou direito indisponível, tratando-se de relação contratual entre partes em posição de igualdade, acostumadas às peculiaridades do transporte marítimo internacional.
</fatos>

<pedidos>
A pretensão deduzida em juízo visa o reconhecimento da ausência de jurisdição brasileira em contrato de transporte marítimo internacional com cláusula de eleição de foro exclusivo estrangeiro, sustentando que o contrato de transporte foi celebrado por duas empresas estrangeiras e que o cumprimento da avença se deu integralmente no exterior.
</pedidos>",404
8_extracted.docx,"<fatos>
Em contrato de transporte marítimo internacional, a empresa Grupo Global Marketing ajuizou ação contra TECHINOVA SOLUÇÕES EM TI. O contrato foi celebrado entre duas empresas estrangeiras, com cumprimento integral no exterior, contendo cláusula de eleição de foro exclusivo estabelecendo que toda e qualquer ação judicial deveria ser ajuizada exclusivamente perante a justiça de Londres. A carga objeto do transporte foi embarcada na Argentina e descarregada em Hong Kong, conforme comprovam os conhecimentos de embarque juntados aos autos. As partes contratantes, em pleno juízo de cognição quanto aos riscos e efeitos da cláusula de eleição de foro internacional, e sem qualquer situação de vulnerabilidade na relação entre elas, optaram expressamente pela inclusão desta cláusula no contrato. O caso não envolve qualquer interesse público ou direito indisponível, sendo que as partes deliberadamente abdicaram das regras de competência da Justiça Brasileira ao firmarem contrato com fixação de cláusula de eleição de foro internacional de modo exclusivo.
</fatos>

<pedidos>
O juízo julgou extinto o processo sem resolução do mérito, com fundamento no Artigo 485, incisos IV e VI, do Código de Processo Civil, reconhecendo a incompetência da jurisdição brasileira em razão da cláusula de eleição de foro exclusivo estrangeiro. Determinou que a parte autora sucumbente arcasse com as despesas processuais e honorários advocatícios fixados em 15% sobre o valor da causa.
</pedidos>",416
6_extracted.docx,"<fatos>
A Mundo Empresarial Distribuidora formalizou contrato de compra e venda de veículos com a TECHSOLUÇÕES LTDA em 27/03/2013, tendo a tradição dos veículos ocorrido em 01/03/2012. Por solicitação da ré, a autora outorgou procuração pública em cartório ao sócio proprietário Sr. André Melo para transferência dos bens móveis. Pelo contrato, a ré ficaria responsável pelo pagamento do contrato de alienação junto ao Banco Volkswagen S.A, bem como por todos os custos de IPVA, licenciamento, transferência, multas e outras pendências dos veículos após 15/02/2012, o que não foi cumprido.

Em contestação, a ré alegou que o contrato seria fraudulento e que a procuração foi outorgada para pessoa física (André) e não para pessoa jurídica. O proprietário da ré, André Melo, admitiu em depoimento que recebeu os veículos através de Marco Antônio, que era credor da autora, e que seu funcionário Gustavo Lopes (sócio da empresa) simulou o contrato para fins de obtenção da ANTT. A procuração outorgada a André em 24/07/2012 não foi impugnada pela ré.

O juízo reconheceu a validade do contrato, considerando que André veio até Votuporanga-SP, celebrou verbalmente o negócio em 2012 e posteriormente formalizou a avença em 2013 com contrato assinado pelo sócio Gustavo Lopes. Entretanto, julgou parcialmente procedente o pedido apenas para determinar que a ré quite as parcelas do financiamento e os impostos/taxas a partir de fevereiro/2012, não sendo possível determinar a transferência dos veículos em razão do gravame de alienação fiduciária sem anuência da instituição financeira.
</fatos>

<pedidos>
1. Que a requerida providencie a quitação das parcelas referentes aos financiamentos dos veículos descritos na inicial;

2. Que a requerida quite os impostos e taxas incidentes sobre os veículos a partir da data da tradição (fevereiro/2012).
</pedidos>",586
